,Date Created,Number of Likes,Source of Tweet,Tweets
22,2023-05-24 22:05:09+00:00,10112,,@numbufera Are you trying to marry me? We’ve just met.
23,2023-05-24 22:03:20+00:00,1946,,@ZubyMusic Facts my G
24,2023-05-24 19:29:48+00:00,23702,,"When you’re feeling sad or any negative emotion. I need you to read this 100 times. 
 
The mind who is making you sad is the same mind who wrote this. 
 
I need you to channel this energy back when you’re having low feelings. 
 
This is who you are. 
 
And any moment of sadness doesn’t stand a chance against this energy."
25,2023-05-24 19:08:37+00:00,9774,,"At the height of BLM, I said:

If the news and largest brands on earth push BLM for free, why do they need money?

It was to be spent on houses by the founders.

@RealCandaceO was hammering them for being a scam from day one.

An idiot and their money are easily parted. https://t.co/fScAY6QXIS"
26,2023-05-24 18:22:10+00:00,4649,,The amount of stress you can tolerate while remaining effective is directly correlated to the level of success you will enjoy.
27,2023-05-24 17:24:03+00:00,21867,,"My dad once told me 

“You weren’t born with shit but your last name boy. 

Luckily, me and your grandad did the impossible to make sure that’s all you’ll ever need. 

Say it”

Tate

“SAY IT SON!”

TATE! 

“Make sure it’s in good shape when you give it to your boy, will ya?”"
28,2023-05-24 16:05:27+00:00,2325,,"I seek to help men overcome poor mental health through embracing hard work physical improvements and shared masculine brotherhood

Tenet 32

https://t.co/QO4nZw94bl"
29,2023-05-24 15:08:58+00:00,69026,,GM https://t.co/8ZB7m7TQK6
30,2023-05-24 13:26:47+00:00,12634,,"Chicks say theyre traditional and wouldnt have kids outside of marriage to get what they want.

But were they traditional 2 years ago? That party in LA? That boat in dubai? Were you traditional then?

You know the white dress means VIRGIN dont you?

Pick and choose BS."
31,2023-05-24 13:09:53+00:00,28573,,@PopBase NOOOOOO. FUCKKKK NOOOOOO. GOD WHY? WHY GOD? HAVNT WE SUFFERED ENOUGH? NOOOOOOOOO.
32,2023-05-24 12:53:37+00:00,16588,,"WTF you mean you have a job?

I AM YOUR JOB.

Now stroke my back while I make millions."
33,2023-05-24 12:22:14+00:00,370,,@FrazzleDazzzled Soybrah
34,2023-05-24 10:52:23+00:00,13345,,"I dont believe in humble bragging. 

I believe in REAL bragging.

Im richer and taller and more important than you.

I have more kids and my kids are better than yours.

Do it right, commit yourself. Hard work and dedication.

Its the only way to win."
35,2023-05-24 09:39:06+00:00,11228,,"Wi a wek up in mi yard tek mi gun and mi drive

Two gyal ina mi bed weh mi fuck every night"
36,2023-05-24 08:17:04+00:00,34910,,GM. https://t.co/Z4RpE3XDib
37,2023-05-24 08:13:05+00:00,4279,,https://t.co/4mKyTyL0mX
38,2023-05-24 08:07:15+00:00,21050,,"You vs the man she will try to replace you with. 

Stay winning kings. https://t.co/75En7E6xWN"
39,2023-05-23 22:06:58+00:00,6059,,"Close your eyes.

Focus on making yourself feel excited, powerful.

Imagine destroying every goal with ease.

Soon - a smile will appear.

Now open your eyes.

Get to work."
40,2023-05-23 21:25:30+00:00,47021,,"@SuspiciousNews I dont think jokes about my death are very funny.

Especially with enemies like mine.

You should be careful the negativity you put into the universe, negativity sticks to anybody who spreads it. ♥️"
41,2023-05-23 21:02:22+00:00,4717,,"POWER

Watch now: https://t.co/N04Ipk2WpS https://t.co/VmLNKVhYZV"
42,2023-05-23 20:20:00+00:00,418,,@SofiaBolotina 🌷
43,2023-05-23 20:05:06+00:00,12772,,The best way for a woman to win in a man’s world is to be a woman in a man’s world. https://t.co/1bsIMQPUbB
44,2023-05-23 17:20:35+00:00,12490,,"I got a question for my side bitch

If I ended up in prison, would you ride it?

If I ever hit the bottom, would you climb it?

If I ever lost my mind, would you find it?"
45,2023-05-23 15:35:47+00:00,23240,,If it’s perfect it’s fake.
46,2023-05-23 13:27:18+00:00,23567,,"I would argue that my Bugatti is the singular most famous automobile on the planet.

Everyone knows it.

Everyone knows its mine.

Its the only one in existence of this colour.

The most famous man in the world drives the most famous car in the world.

My other 34 cars are jealous but thats life."
47,2023-05-23 13:11:36+00:00,32540,,"I love being so rich that I dont talk with, do business with, or even acknowledge the existence of anybody who I do not like.

I make arbitrary rules, which are probably completely unfair and I love it.

There are many such rules, but let me give an example of one.

I believe anyone who is a vegan is a moron. 

Thats what I believe and I refuse to ever talk to any of them ever.

I wont let a vegan fly my jet. 
I wont let a vegan ask me a question.

All vegans are perma banned from my existence for being stupid.

A vegan can have the best business idea in the world, dont care. 

Will turn down 10M, not interested.

I will abandon a business project at 99% completion if I find out someone else involved is a Vegan. 

And everybody will call me petty and I will laugh and laugh with Tristan about how petty and sexy I am.

I feel happy inside refusing them access to my brilliance.

Should have had a steak."
48,2023-05-23 12:23:14+00:00,33992,,https://t.co/jqGwGSwOPd
49,2023-05-23 10:45:58+00:00,123485,,GM https://t.co/46eUt1sgKK
50,2023-05-23 10:10:22+00:00,253,,@dapperlaughs Yep. @radioleary
51,2023-05-23 08:24:06+00:00,2102,,"I affirm the importance and need for travel and adventure as men

Tenet 31

https://t.co/4XfcR9SVwR"
52,2023-05-23 07:39:15+00:00,3561,,https://t.co/c43USJrKqd
53,2023-05-22 22:27:11+00:00,913,,@TopGirlKeiko Fassy 😂
54,2023-05-22 21:58:33+00:00,14124,,"I have this massive burst of positive energy. 

Like the stars have burst and sent a rush of cosmic flame into my blood. 

Can anyone else feel it?"
55,2023-05-22 20:39:56+00:00,11484,,"Im too old and too dam grown as a man to find any satisfaction in buying things for myself.

I have 35 cars and diamond watches and clothes etc etc but thats just the basics for a man of my monumental achievements.

If I wanna feel happy... I buy my WOMAN something."
56,2023-05-22 20:37:36+00:00,37774,,"I am the nicest, sweetest, most generous man ever with my woman.

What do you need baby? A handbag? Have 10.

Endless Versace for the jet. Rolexs for the Rari.

Love you.

Love you too.

Now let some broke red pill dork tell me im a simp.

Meet me in the cage and say it again."
57,2023-05-22 19:43:52+00:00,5874,,"They appear when required, any “normal” person still connected to the Matrix can become an agent. 

If you are not one of us. 

You are one of them."
58,2023-05-22 17:19:54+00:00,6700,,"When @TateTheTalisman invented one of the world's most popular drinks…

Full episodes: https://t.co/Y7cp6oHXBt https://t.co/E4RnKm6spd"
59,2023-05-22 16:03:48+00:00,23364,,"This is actually true.

Women are happiest when they don't need to think.

They just arrive at an airport and a jet is waiting. How does a private jet get organized? Who knows.

New country, arrive at a 5-star, have a great time. Have no idea how they got there, how much it cost, how it was organized, how they're getting home. Zero.

They literally want to turn their brains off and smile when they're with the man they love.

Logistics kill smiles."
60,2023-05-22 14:50:20+00:00,19717,,"Nobody wants to believe that life as a man is simple.

Pain, suffering, invisible, forgotten, despised. 

One day if you work hard enough you can matter and be loved. 

Thats it. Work. Grind.

Life as a man is ugly, but its very simple.

There is no trick to escape this reality."
61,2023-05-22 13:10:36+00:00,69401,,Hoe patrol. https://t.co/0jwoFoH66w
62,2023-05-22 11:43:44+00:00,3616,,@TateNews_ https://t.co/0wFTUaN1cv
63,2023-05-22 11:34:26+00:00,7489,,"Instagrams down.

However ""The Real World"" retains 100% uptime.

The mobileapp/web are faultless despite attacks by the enemies of truth.

Resisting Matrix attacks proves something important.

We know how the Matrix works.

We know how to win.

Join: https://t.co/9TN9VyfzRh"
64,2023-05-22 11:01:01+00:00,12242,,"Give up my dear.

Im sure youre a very nice person, but I am the most wanted man on planet earth.

I get thousands, literally thousands, of love letters per week. From Mongolia to Miami.

Every other ""man"" is just some watered down version of me and the entire planet knows it, especially the females.

The competition is just too tough.

Im sorry, but sometimes dreams just dont come true."
65,2023-05-22 10:55:06+00:00,6551,,"There is a sense of inner peace with comes with the knowledge that you can have anything you want, anytime you want.

Whats funny is... once you truly have this ability through unlimited fame and money.

You dont even want anything. 

KNOWING you could have it is enough."
66,2023-05-22 08:30:24+00:00,14062,,Gyal dem https://t.co/VEv0R78EGq
67,2023-05-22 08:27:45+00:00,52153,,"Dont my G. 

Some other dude fucked her and transmitted his negative emotions into her heart.

Shes bitter and cold.

Her whole personality has changed. 

Person you miss is dead.

Move on."
68,2023-05-22 08:24:43+00:00,10475,,"When she loves you she will ask your permission for basically anything.

""Hey baby, can I go to the store?""
""Hey baby, can I watch a movie?""
""Hey baby, can I play music?"""
69,2023-05-22 06:18:37+00:00,3576,,https://t.co/8sEfd1lnvS
70,2023-05-22 06:14:43+00:00,2060,,"I reserve the right to administer difficult rites of passage for our young men to allow them to earn the rank of manhood

Tenet 30

https://t.co/BoN9g6hm6k"
71,2023-05-21 22:25:59+00:00,21486,,"Di last gyal mi touch beg mi fi breed her 

Truss she know di money nuff an it please her"
72,2023-05-21 21:42:49+00:00,24182,,"If you do not protect your woman, the angels curse you.

if you do not obey your man, the angels curse you."
73,2023-05-21 20:44:53+00:00,5386,,"Follow The White Rabbit

Watch now: https://t.co/E458SPdWCT https://t.co/oAwDKKMUUs"
74,2023-05-21 19:35:34+00:00,11210,,"Love is the most powerful protection.

Almost nothing can harm you if you are loving others and being loved in return."
75,2023-05-21 19:27:33+00:00,4830,,@hodgetwins Enjoy it.
76,2023-05-21 19:03:25+00:00,24497,,"I need a sexy witch who is constantly telling me how shes fighting the demons which are attacking my Aura and running around with incense sticks to protect my spirit on the astral plane while im doing real things like making money and paying the bills. 

Team work."
77,2023-05-21 18:40:09+00:00,36017,,Broken hearts and empty pockets going to teach you 95% of what you need to know.
78,2023-05-21 18:12:09+00:00,6482,,"I hope I make it out of my perma-detention alive, we have alot to talk about!"
79,2023-05-21 18:00:58+00:00,46507,,Wifey https://t.co/FqtR448WvC
80,2023-05-21 16:29:45+00:00,67519,,@meulkygalaxies What colour is his bugatti?
81,2023-05-21 15:30:47+00:00,4724,,"THE WAR ROOM will make you into a superhero.

But how could you become a superhero without being tested?

Do you have what it takes?

https://t.co/l3dgAIiUia

@ReachTWR https://t.co/SgHHYCBEf0"
82,2023-05-21 14:23:51+00:00,16903,,"I live the ""perfect"" life.

I have more money, more love, more friends, more family than absolutely anybody Ive ever met.

I am one of the most famous men alive and I am doing GOOD things.

I have a purpose (something most men lack), a positive one, and am shifting the entire planet towards GOOD in the battle against evil.

But everytime life is TOO perfect God hits me with something that makes life hard again. A new war.

God puts me back in the frame of mind needed to be grateful for the things I didnt appreciate enough.

When I left jail... I appreciated a pillow. A PILLOW made me smile for weeks.

Before jail it took jets and Bugattis to make me smile like that.

In my life, every single hardship ive endured has made me a stronger and more capable version of myself.

Anybody whos ever lost me lived to regret losing me.

Anybody whos ever lied about me, or made an enemy of me, lived to regret doing exactly that.

I always win, in the end.

I thank god for all of the good but also for every single struggle. I need these battles. Allah is the best of planners and if he decides I must suffer than I accept this.

What kind of man isnt fighting a war?

Thank you god for every single ounce of pain.

Thank you god for the sleepless nights and the withheld tears.

I want to show God that I am strong enough to endure anything he decides that I need.

I will fight until my last breath and never disappoint him.

I will get up every single day and perform to the best of my potential, rain or shine. 

God wanted a warrior and he has one.

God willing, I am ready for anything."
83,2023-05-21 11:50:21+00:00,43288,,GM https://t.co/KI9TMgALhN
84,2023-05-21 11:36:34+00:00,1702,,https://t.co/5xdWF1QNOm
85,2023-05-21 10:34:56+00:00,3987,,The temporary satisfaction of quitting is outweighed by the eternal suffering of being a nobody.
86,2023-05-21 09:02:42+00:00,3146,,"GM

https://t.co/2OxmvMaowv"
87,2023-05-20 21:37:29+00:00,5942,,"I am a poet. 

I wrote this - and 50 other poems, as captions on my instagram posts. 

all lost when my instagram was deleted."
88,2023-05-20 20:52:37+00:00,18164,,"I believe she was saying something like 

“You boys are innocent. They only want your money. Everyone wants to take your money. You are good men innocent men it is criminal what they have done to you”"
89,2023-05-20 20:37:35+00:00,61757,,"When I was around 7, I was at my white friend's house and he told his parents to LEAVE HIM ALONE because he wanted to play video games.

I went home and said the same thing to my black father.

Got belted senseless.

Wrote a 2-page apology and my Nintendo was thrown away forever."
90,2023-05-20 19:58:12+00:00,228,,@1dalehardiman Dam.
91,2023-05-20 19:17:27+00:00,2653,,"“O believers give of what We have provided for you.”

https://t.co/1RzO4M3YoH https://t.co/XSrM1wvADl"
92,2023-05-20 19:10:17+00:00,15234,,@nrci5ssm or?
93,2023-05-20 18:55:32+00:00,7688,,@MisfitUpdates @KSI 😉
94,2023-05-20 18:54:00+00:00,7634,,@SkinniiGoinHam Yes. Hes proved himself a clown.
95,2023-05-20 18:49:14+00:00,55380,,@KSI Ok ive changed my mind.
96,2023-05-20 17:47:04+00:00,9615,,I dont know the names of the girls who end up on my jets.
97,2023-05-20 17:23:51+00:00,11049,,Thank God.
98,2023-05-20 17:23:11+00:00,6966,,"I have 100m of crypto and I still don’t go to those boring conventions full of dorks. 

Nerd shit. 

And I still don’t scam anyone or shill any BS coin. I’ve explained why at length. 

I teach real wealth creation in The Real World. 

That’s it."
99,2023-05-20 17:21:48+00:00,8634,,I want 10 sons. Working on it.
100,2023-05-20 17:21:04+00:00,9063,,Sooner than you think… 😉
101,2023-05-20 17:20:41+00:00,6740,,To save souls.
102,2023-05-20 17:20:32+00:00,24631,,"No. 

I don’t know him. 

He does some cringe bullshit but most “influencers” who havnt found god do. 

He talks a bunch of shit about me but again, I don’t care. 

Truthfully, I respect any man who steps into the ring."
103,2023-05-20 17:18:57+00:00,19369,,AMA. https://t.co/QqbgmiFOSY
104,2023-05-20 16:20:42+00:00,31923,,"""we’ll figure it out together” is my love language"
105,2023-05-20 13:31:58+00:00,15665,,I can barely sleep at night because the Hollywood writers are on strike and I super give a fuck.
106,2023-05-20 12:53:04+00:00,2549,,"I believe in honoring my ancestors and living in a way that would make them most proud of me today

Tenet 29

https://t.co/PIyG0Mp14m"
107,2023-05-20 11:50:47+00:00,117273,,GM https://t.co/TVOMGaBHyb
108,2023-05-20 10:35:34+00:00,23334,,https://t.co/3qe5amMuoH
109,2023-05-20 10:11:53+00:00,49806,,"I have been locked in my house to perfect the 7 styles of WUDAN.

Join me in the fight against the Matrix: https://t.co/hopcAAMksL https://t.co/VaostGdYHM"
110,2023-05-20 09:53:47+00:00,2980,,https://t.co/JchvpnKksR
111,2023-05-20 09:36:24+00:00,22951,,https://t.co/uZmgA1Mbn0
112,2023-05-19 21:13:06+00:00,2174,,@MichaelBensonn @FloydMayweather G
113,2023-05-19 20:08:27+00:00,17037,,The little things are the big things.
114,2023-05-19 19:37:17+00:00,13968,,"I love who I am because I know I live with a pure heart.

I always tell the truth and I fear god.

-

This was my final statement in court before my sentencing to further detention."
115,2023-05-19 19:05:51+00:00,23065,,I still thank god for today. Im breathing Alhamdulillah.
116,2023-05-19 19:00:29+00:00,10075,,@Art0fLife_ God thank you for today.
117,2023-05-19 18:56:49+00:00,683,,"@vanessasierra00 @eth_ben Youre no longer a Crypthoe youve been promoted congrats.

See, the truth will set you free"
118,2023-05-19 14:25:29+00:00,1827,,@TessaStuart96 CryptHOE. Blocked.
119,2023-05-19 14:07:10+00:00,2778,,@LayahHeilpern Oh. That’s the seed you thought we were talking about.
120,2023-05-19 14:06:24+00:00,2678,,"@ShaykhSulaiman 2% win so 98% can lose which is why I do not endorse coins. 

I’m not desperate for money like Logan Paul. 

I won’t rob people who trust me."
121,2023-05-19 14:04:28+00:00,1483,,@FlyOnSOL Ok
122,2023-05-19 14:01:38+00:00,2701,,@d00pyETH Good
123,2023-05-19 13:42:20+00:00,707,,@GaryLHenderson yep.
124,2023-05-19 13:15:18+00:00,3011,,@LayahHeilpern No.
125,2023-05-19 11:33:41+00:00,25248,,"Once you’re ultra-successful you learn a universal constant.

You can’t bring somebody up who doesn’t want to be up there with you.

No matter how hard you try, they’ll find an excuse or they’ll fuck it up.

The reverse is true.

You can never keep somebody down who doesn’t want to be down there without you.

Do you understand?"
126,2023-05-19 10:26:53+00:00,19896,,"Im too black for this.

Thats what I say when women try and tell me what to do."
127,2023-05-19 10:17:47+00:00,62834,,GM https://t.co/Tdf1K7p12e
128,2023-05-19 07:44:28+00:00,3657,,https://t.co/z8cn2pCQjb
129,2023-05-19 05:42:01+00:00,23506,,Here we go…
130,2023-05-18 23:23:34+00:00,57100,,Astaghfirullah
131,2023-05-18 20:10:01+00:00,28680,,"Only the average fall into extreme decline.

If you're obese, you've likely never been in supreme physical condition.

if you’re broke, you’ve likely never been truly wealthy.

It's easy to fall from average to subpar.

But it's very difficult to slide that far from excellence, as from the top, even normality is frightening."
132,2023-05-18 16:59:07+00:00,4520,,Most people see other people with things they want and don’t do the second half. They don’t try to work out how they got that thing.
133,2023-05-18 15:21:18+00:00,15724,,"I know as a matter of historical fact that META and Youtube had a data team analyzing the social media landscape in real-time to gauge response to my ban.

They deleted me so I couldn’t defend myself, then lied about me HARD with the Matrix press, in an attempt to convince the world their actions were fair.

They were actively measuring how many NPCs believed them in REAL TIME.

I KNOW AS A MATTER OF HISTORICAL RECORD that the same focus group tasked with ensuring my demise watched as I was live with PBD explaining their impending downfall.

They sat around in an office and watched me as a single man tell the most powerful gatekeepers of information in the history of humanity that THEY made a mistake messing with ME.

I’m sure they laughed out loud.

Who does this guy think he is?

But I ask, who is laughing now?

Can’t you understand that I am the smartest man on the planet?

I constantly predict the future with ABSOLUTE accuracy.

I put my life and reputation on the line, time and time again, to show I have genuine conviction.

Unlike everyone else online I WALK THE WALK.

I sit in fucking dungeons, covered in cockroaches in pitch black.

I emerge UNFAZED.

I live what I teach.

I refuse to be quiet and I refuse to give up.

I never ever fail.

This is why I am the greatest man alive.

I’m never, ever, wrong.

Follow me - I am the leader of this generation.

Follow me... because I will save you all.

What did I say? I said the dam only needs a crack.

We only need ONE MAN to become more famous POST cancelation than before...

and it will break.

The mass control of information will split and new platforms will arise. Humanity will be saved from slavery.

We only needed one hero.

One Top G.

MY UNMATCHED PERSPICACITY COUPLED WITH SHEER INDEFATIGABILITY MAKES ME A FEARED OPPONENT IN ANY REALM OF HUMAN ENDEAVOUR.

And I would NEVER, EVER, KILL MYSELF.

https://t.co/PLh26GiwGf"
134,2023-05-18 14:01:36+00:00,27849,,"My Rimac Nevera gets delivered in July. 

The car broke 23 world records in a single day yesterday. 

What do you think of the spec? https://t.co/UdgpqNNHvq"
135,2023-05-18 13:09:27+00:00,30611,,"Court tomorrow to see if I remain locked in my house under police guard. 

I have not been free for a single day this year."
136,2023-05-18 12:51:22+00:00,14375,,https://t.co/d8EDix9TUd https://t.co/klD8FcV2L3
137,2023-05-18 12:04:51+00:00,5767,,"If youre still endlessly gambling on shitcoins trying to ""make it"" youre just another loser in the casino. 

99% fail."
138,2023-05-18 11:51:33+00:00,577,,@TopGirlKeiko &lt;3
139,2023-05-18 11:35:31+00:00,12509,,Peng tings givin man stress.
140,2023-05-18 11:08:07+00:00,92907,,GM https://t.co/EBUHFhkzyH
141,2023-05-18 10:31:40+00:00,695,,@SofiaBolotina 🔝
142,2023-05-18 09:34:05+00:00,2432,,"I maintain the trust of my brothers through reverent silence regarding our most sacred shared experiences

Tenet 28

https://t.co/IfNJpIanH6"
143,2023-05-18 07:15:38+00:00,3149,,https://t.co/tSKgVklRr3
144,2023-05-17 21:38:54+00:00,79750,,"Bored. Giving away 50,000 dollars in less than 72 hours.

To qualify:

1) Retweet
2) Sign up to the mail list on https://t.co/t5YXtUban5
3) Tell your parents you love them.
4) Tell me which charity youd give $10,000 of the money too in a comment below."
145,2023-05-17 21:17:46+00:00,15190,,Never.
146,2023-05-17 21:16:09+00:00,39375,,"OK FUCK IT I WILL ENDORSE A SHITCOIN AND SEND IT TO THE FUCKING MOON ON THE 1ST OF JUNE.

DONT BUY ANY COIN UNTILL YOU GET THE SIGNAL FROM ME THEYRE ALL SCAMS.

HU STUDENTS GET TOLD 1 HOUR IN ADVANCE.
EMAIL LIST GETS 5MINS IN ADVANCE.

THEN I PUMP SOME RANDOM GARBAGE TO VALHALLAH.

SIGN UP: https://t.co/GPNGy4UjP1"
147,2023-05-17 20:46:17+00:00,3695,,"I give away COMPLETELY FREE NFTS, FREE, with every single purchase on https://t.co/8mdiedTYMe.

Theyre FREE - so that NOBODY can EVER lose.

ANYONE who believes in Tate ONLY WINS."
148,2023-05-17 20:28:19+00:00,25351,,"I DO NOT ENDORSE SHITCOINS. 

I’m not a scammer like every other “influencer”

I don’t need to rob my fans. 

I DO NOT HAVE ANYTHING TO DO WITH ANY CRYPTO. https://t.co/tlLQ8Iunz3"
149,2023-05-17 20:19:57+00:00,12675,,"@eth_ben This isnt a shout out. I have nothing to do with your trash project.

I dont know who you are and I do not endorse your scam.

Nobody buy this crap."
150,2023-05-17 19:08:48+00:00,20235,,"Ant Man - Tate's Arch Nemesis

Watch now: https://t.co/hPUoy2xyQB https://t.co/LFKDjJdGrj"
151,2023-05-17 19:05:34+00:00,22007,,"So Harry and Megan ALMOST crashed and I ALMOST gave a fuck.

I ALMOST flew to the moon and became a fucking alien.

What kinda BUMBARASS story is this?

Thought they wanted to be left alone and out of public eye for privacy.

But they go to the papers everytime something ALMOST happens?"
152,2023-05-17 18:50:55+00:00,116252,,"@PopBase FUCKKKK, NOOOOOOO!

NOOOOO GOD WHY?? WHY GOD WHY?? NOOOOOOOOO."
153,2023-05-17 18:46:08+00:00,4765,,@bennyjohnson @elonmusk G
154,2023-05-17 16:37:59+00:00,18294,,"I feel like taking these twitter ""gurus"" talking about masculinity...

Putting them a room.

Then kicking the fuck out of all of them at once.

Me vs 10,000 generic dorks. MORTAL COMBAT.

10 LIFE HACKS TO MASCULINE GAYNESS.

Youre too scared to even fight in the cage. Be quiet.

Any man who hasnt fought pro isnt allowed to comment anything mindset, masculinity, any of it.

Cope."
155,2023-05-17 14:56:56+00:00,40538,,"No lust, no trust.

Leave me alone. https://t.co/KqvchFdwyz"
156,2023-05-17 14:22:10+00:00,429,,@TopGirlKeiko Kiekos real.
157,2023-05-17 13:50:22+00:00,4574,,https://t.co/ZpGrO458mT
158,2023-05-17 13:41:56+00:00,585,,"@TopGirlKeiko Kingston 😂😂😂

Grim a waiting fi dem!"
159,2023-05-17 13:15:38+00:00,1215,,@JedediahBila They can get fucked.
160,2023-05-17 13:02:57+00:00,5368,,"Correct. 

So learn from me, for free, here: https://t.co/eXbpf0DNDu"
161,2023-05-17 12:24:14+00:00,30668,,"When I was poor, I lived militantly. 

I ate rice and sardines, 10 USD a week on food -&gt; Cheap and nutritious. 

I ran everywhere -&gt; Free.

I trained as hard as possible, to become as strong as humanly possible -&gt; prevented expensive vices."
162,2023-05-17 10:17:38+00:00,4953,,"A good plan today is better than a perfect plan tomorrow.

You’ve gotta do something and you’ve gotta do something fast.

You just sitting around talking about it and hoping for things to get better is how you LOSE."
163,2023-05-17 09:22:22+00:00,2864,,"I believe that masculine brotherhood is essential to men’s mental health happiness and success and I relentlessly encourage men to meet together train together and work together

Tenet 27

https://t.co/EVYdl4pR5a"
164,2023-05-17 07:10:44+00:00,132794,,GM https://t.co/QPlulAMUfT
165,2023-05-17 06:39:43+00:00,2257,,https://t.co/0od9uMIbhV
166,2023-05-16 21:23:42+00:00,2208,,@Realdevinhaney WhatsApp G ❤️
167,2023-05-16 20:26:52+00:00,28785,,"When a clown moves into a palace he doesnt become king.

The palace becomes a circus.

Do you understand?"
168,2023-05-16 20:10:56+00:00,17747,,🙏 https://t.co/dWGkVAQcAX
169,2023-05-16 18:54:37+00:00,6282,,"Its an old picture from years ago.

Im one of the most googled men in the world, Images and videos from before my reversion will always exist. What insanity is it to believe they wouldnt?

If anybody decides to shun me for that fact, that is up to them.

I will continue to study the beauty which is islam and god knows the truth of my heart."
170,2023-05-16 18:14:54+00:00,1504,,@Derek_Fitness @ChaelSonnen I got a blood test few days ago. DM
171,2023-05-16 17:26:12+00:00,15898,,"I cancelled cancel culture.

Imagine shooting a man with your last bullet.

AND HE STANDS THERE.

UNFAZED."
172,2023-05-16 17:06:32+00:00,34002,,"Who remembers what I said when I moved to Rumble?

I said im not like any other person you ""cancel"". 

Im the most respected masculine role model on the face of the planet and I WILL take the masculine youth with me.

I said the matrix has cracked, and I promised to widen that crack into a unrepairable cavity in the censorship insanity. 

I said ""cancelling"" me was the biggest mistake theyve ever made and soon the entire culture would shift away from degeneracy. 

I told them that power has limits and if you abuse it.. one day you will step too far, once you do, theres no going back.

I said do not make an enemy of the Top G. 

I said messing with me was a mistake and I promised to save the world.

Did I lie?

LOOK AROUND YOU. 

The largest Youtubers and Twitch streamers in the world have joined Rumble, along with hundreds of others prepared to tell the TRUTH.

I warned the Matrix...

My unmatched perspicacity coupled with sheer indefatigability makes me a feared opponent in any realm of human endeavour."
173,2023-05-16 15:25:28+00:00,25801,,"“Indeed, the Qur’an is a reminder”"
174,2023-05-16 13:38:31+00:00,36584,,"The only superhero a boy should have is his father.

If your son idolizes fiction it’s because you’re so unspectacular you can’t even impress a child.

When I was young I would say “Hey Dad Batman did this”

And he’d sit me down and say

“That’s nothing. I did this!”

And tell me a story.

Then tell me one day I’d be able to do the same things because I had a duty to protect the bloodline.

I lost all interest in Batman."
175,2023-05-16 12:06:32+00:00,2446,,"I believe in the merits of healthy competition and constantly encourage all men to seek out competition to improve themselves.

Tenet 26

https://t.co/75tbmkGFzO"
176,2023-05-16 11:01:53+00:00,15552,,"@FightHaven There was no match. I was training him.

His tiktok is full of clips of us training."
177,2023-05-16 10:53:01+00:00,6593,,Sadness is a warning. You feel it for a reason. Your mind is telling you that you need to work harder.
